Nombre_CL,sciName,speciesCode,comName_en
Paloma doméstica,Columba livia,rocpig,Rock Pigeon
Tórtola,Zenaida auriculata,eardov1,Eared Dove
Picaflor chico,Sephanoides sephaniodes,grbfir1,Green-backed Firecrown
Cachudito común,Anairetes parulus,tuttyr1,Tufted Tit-Tyrant
Chercán común,Troglodytes musculus,houwre4,Southern House Wren
Zorzal patagónico,Turdus falcklandii,austhr1,Austral Thrush
Chincol,Zonotrichia capensis,rucspa1,Rufous-collared Sparrow
Tortolita cuyana,Columbina picui,pigdov1,Picui Ground Dove
Águila,Geranoaetus melanoleucus,bcbeag1,Black-chested Buzzard-Eagle
Tiuque,Daptrius chimango,chicar1,Chimango Caracara
Cotorra,Myiopsitta monachus,monpar,Monk Parakeet
Gorrión,Passer domesticus,houspa,House Sparrow
Codorniz,Callipepla californica,calqua,California Quail
Queltehue común,Vanellus chilensis,soulap1,Southern Lapwing
Churrín de la Mocha,Eugralla paradoxa,ocftap1,Ochre-flanked Tapaculo
Diucón,Pyrope pyrope,fiediu1,Fire-eyed Diucon
Viudita,Colorhamphus parvirostris,pattyr2,Patagonian Tyrant
Golondrina chilena,Tachycineta leucopyga,chiswa1,Chilean Swallow
Loica común,Leistes loyca,lotmea1,Long-tailed Meadowlark
Cometocino patagónico,Phrygilus patagonicus,pasfin1,Patagonian Sierra Finch
Diuca común,Diuca diuca,codfin1,Diuca Finch
Chirihue común,Sicalis luteola,gryfin1,Grassland Yellow-Finch
Gaviota dominicana,Larus dominicanus,kelgul,Kelp Gull
Tijeral común,Leptasthenura aegithaloides,pmtspi1,Plain-mantled Tit-Spinetail
Jilguero austral,Spinus barbatus,blcsis2,Black-chinned Siskin
Tordo,Curaeus curaeus,ausbla1,Austral Blackbird
Garza grande,Ardea alba,greegr,Great Egret
Peuco,Parabuteo unicinctus,hrshaw,Harris's Hawk
Picaflor de Cora,Thaumastura cora,pershe2,Peruvian Sheartail
Nuco,Asio flammeus,sheowl,Short-eared Owl
Chuncho austral,Glaucidium nana,aupowl1,Austral Pygmy-Owl
Chorlo de campo,Oreopholus ruficollis,tatdot1,Tawny-throated Dotterel
Bandurria común,Theristicus melanopis,bkfibi1,Black-faced Ibis
Vari ceniciento,Circus cinereus,cinhar1,Cinereous Harrier
Minero común,Geositta cunicularia,commin1,Common Miner
Lechuza,Tyto furcata,brnowl,American Barn Owl
Tucúquere,Bubo magellanicus,grhowl2,Lesser Horned Owl
Pidén común,Pardirallus sanguinolentus,plurai1,Plumbeous Rail
Cometocino de Gay,Phrygilus gayi,gyhsif1,Gray-hooded Sierra Finch
Paloma de alas blancas,Zenaida meloda,wepdov1,West Peruvian Dove
Pilpilén negro,Haematopus ater,blaoys1,Blackish Oystercatcher
Gaviota garuma,Leucophaeus modestus,grygul,Gray Gull
Yeco,Nannopterum brasilianum,neocor,Neotropic Cormorant
Aguilucho común,Geranoaetus polyosoma,rebhaw2,Variable Hawk
Cernícalo,Falco sparverius,amekes,American Kestrel
Churrete costero,Cinclodes nigrofumosus,seacin1,Seaside Cinclodes
Tenca chilena,Mimus thenca,chimoc1,Chilean Mockingbird
Gallina ciega común,Systellura longirostris,bawnig1,Band-winged Nightjar
Martín pescador,Megaceryle torquata,rinkin1,Ringed Kingfisher
Chucao,Scelorchilus rubecula,chutap1,Chucao Tapaculo
Carpinterito,Veniliornis lignarius,strwoo6,Striped Woodpecker
Pato colorado,Spatula cyanoptera,cintea,Cinnamon Teal
Pato gargantillo,Anas bahamensis,whcpin,White-cheeked Pintail
Tagüita del norte,Gallinula galeata,comgal1,Common Gallinule
Pilpilén común,Haematopus palliatus,ameoys,American Oystercatcher
Chorlo ártico,Pluvialis squatarola,bkbplo,Black-bellied Plover
Chorlo dorado,Pluvialis dominica,amgplo,American Golden-Plover
Chorlo gritón,Charadrius vociferus,killde,Killdeer
